holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,month,year,hour,day_of_week,day_of_month,month_name,is_weekend,day_type,month_year
No Holiday,295.13,0.0,0.0,1,clear,sky is clear,2012-10-03 16:00:00,6137,10,2012,16,2,3,October,False,Weekday,2012-10
No Holiday,293.66,0.0,0.0,20,clouds,few clouds,2012-10-03 18:00:00,4623,10,2012,18,2,3,October,False,Weekday,2012-10
No Holiday,290.65,0.0,0.0,20,clouds,few clouds,2012-10-03 19:00:00,3591,10,2012,19,2,3,October,False,Weekday,2012-10
No Holiday,288.19,0.0,0.0,20,clouds,few clouds,2012-10-03 20:00:00,2898,10,2012,20,2,3,October,False,Weekday,2012-10
No Holiday,287.1,0.0,0.0,1,clear,sky is clear,2012-10-03 21:00:00,2637,10,2012,21,2,3,October,False,Weekday,2012-10
No Holiday,286.25,0.0,0.0,1,clear,sky is clear,2012-10-03 22:00:00,1777,10,2012,22,2,3,October,False,Weekday,2012-10
No Holiday,285.26,0.0,0.0,1,clear,sky is clear,2012-10-03 23:00:00,1015,10,2012,23,2,3,October,False,Weekday,2012-10
No Holiday,284.55,0.0,0.0,1,clear,sky is clear,2012-10-04 00:00:00,598,10,2012,0,3,4,October,False,Weekday,2012-10
No Holiday,283.47,0.0,0.0,1,clear,sky is clear,2012-10-04 01:00:00,369,10,2012,1,3,4,October,False,Weekday,2012-10
No Holiday,283.17,0.0,0.0,1,clear,sky is clear,2012-10-04 02:00:00,312,10,2012,2,3,4,October,False,Weekday,2012-10
No Holiday,282.04,0.0,0.0,1,clear,sky is clear,2012-10-04 03:00:00,367,10,2012,3,3,4,October,False,Weekday,2012-10
No Holiday,281.69,0.0,0.0,1,clear,sky is clear,2012-10-04 04:00:00,835,10,2012,4,3,4,October,False,Weekday,2012-10
No Holiday,281.32,0.0,0.0,1,clear,sky is clear,2012-10-04 05:00:00,2726,10,2012,5,3,4,October,False,Weekday,2012-10
No Holiday,280.74,0.0,0.0,1,clear,sky is clear,2012-10-04 06:00:00,5689,10,2012,6,3,4,October,False,Weekday,2012-10
No Holiday,280.57,0.0,0.0,1,clear,sky is clear,2012-10-04 07:00:00,6990,10,2012,7,3,4,October,False,Weekday,2012-10
No Holiday,281.86,0.0,0.0,1,clear,sky is clear,2012-10-04 08:00:00,5985,10,2012,8,3,4,October,False,Weekday,2012-10
No Holiday,284.98,0.0,0.0,1,clear,sky is clear,2012-10-04 09:00:00,5309,10,2012,9,3,4,October,False,Weekday,2012-10
No Holiday,289.18,0.0,0.0,1,clear,sky is clear,2012-10-04 10:00:00,4603,10,2012,10,3,4,October,False,Weekday,2012-10
No Holiday,291.55,0.0,0.0,1,clear,sky is clear,2012-10-04 11:00:00,4884,10,2012,11,3,4,October,False,Weekday,2012-10
No Holiday,294.97,0.0,0.0,1,clear,sky is clear,2012-10-04 12:00:00,5104,10,2012,12,3,4,October,False,Weekday,2012-10
No Holiday,296.38,0.0,0.0,1,clear,sky is clear,2012-10-04 13:00:00,5178,10,2012,13,3,4,October,False,Weekday,2012-10
No Holiday,297.32,0.0,0.0,1,clear,sky is clear,2012-10-04 14:00:00,5501,10,2012,14,3,4,October,False,Weekday,2012-10
No Holiday,298.17,0.0,0.0,1,clear,sky is clear,2012-10-04 15:00:00,5713,10,2012,15,3,4,October,False,Weekday,2012-10
No Holiday,298.06,0.0,0.0,20,clouds,few clouds,2012-10-04 16:00:00,6292,10,2012,16,3,4,October,False,Weekday,2012-10
No Holiday,297.67,0.0,0.0,20,clouds,few clouds,2012-10-04 17:00:00,6057,10,2012,17,3,4,October,False,Weekday,2012-10
No Holiday,296.36,0.0,0.0,40,clouds,scattered clouds,2012-10-04 18:00:00,4907,10,2012,18,3,4,October,False,Weekday,2012-10
No Holiday,293.85,0.0,0.0,40,clouds,scattered clouds,2012-10-04 19:00:00,3503,10,2012,19,3,4,October,False,Weekday,2012-10
No Holiday,292.43,0.0,0.0,40,clouds,scattered clouds,2012-10-04 20:00:00,3037,10,2012,20,3,4,October,False,Weekday,2012-10
No Holiday,291.77,0.0,0.0,75,clouds,broken clouds,2012-10-04 21:00:00,2822,10,2012,21,3,4,October,False,Weekday,2012-10
No Holiday,291.36,0.0,0.0,75,clouds,broken clouds,2012-10-04 22:00:00,1992,10,2012,22,3,4,October,False,Weekday,2012-10
No Holiday,291.12,0.0,0.0,75,clouds,broken clouds,2012-10-04 23:00:00,1166,10,2012,23,3,4,October,False,Weekday,2012-10
No Holiday,290.63,0.0,0.0,75,clouds,broken clouds,2012-10-05 00:00:00,627,10,2012,0,4,5,October,False,Weekday,2012-10
No Holiday,290.46,0.0,0.0,40,clouds,scattered clouds,2012-10-05 01:00:00,388,10,2012,1,4,5,October,False,Weekday,2012-10
No Holiday,289.26,0.0,0.0,0,clear,sky is clear,2012-10-05 03:00:00,368,10,2012,3,4,5,October,False,Weekday,2012-10
No Holiday,283.21,0.0,0.0,75,clouds,broken clouds,2012-10-05 05:00:00,2489,10,2012,5,4,5,October,False,Weekday,2012-10
No Holiday,282.24,0.0,0.0,90,clouds,overcast clouds,2012-10-05 06:00:00,5537,10,2012,6,4,5,October,False,Weekday,2012-10
No Holiday,281.69,0.0,0.0,90,clouds,overcast clouds,2012-10-05 07:00:00,6628,10,2012,7,4,5,October,False,Weekday,2012-10
No Holiday,280.57,0.0,0.0,90,clouds,overcast clouds,2012-10-05 08:00:00,5534,10,2012,8,4,5,October,False,Weekday,2012-10
No Holiday,280.02,0.0,0.0,75,clouds,broken clouds,2012-10-05 09:00:00,5403,10,2012,9,4,5,October,False,Weekday,2012-10
No Holiday,280.11,0.0,0.0,75,clouds,broken clouds,2012-10-05 10:00:00,4770,10,2012,10,4,5,October,False,Weekday,2012-10
No Holiday,280.0,0.0,0.0,90,clouds,overcast clouds,2012-10-05 11:00:00,5217,10,2012,11,4,5,October,False,Weekday,2012-10
No Holiday,280.53,0.0,0.0,90,clouds,overcast clouds,2012-10-05 12:00:00,5870,10,2012,12,4,5,October,False,Weekday,2012-10
No Holiday,281.43,0.0,0.0,75,clouds,broken clouds,2012-10-05 13:00:00,5967,10,2012,13,4,5,October,False,Weekday,2012-10
No Holiday,281.78,0.0,0.0,90,clouds,overcast clouds,2012-10-05 14:00:00,6108,10,2012,14,4,5,October,False,Weekday,2012-10
No Holiday,281.91,0.0,0.0,90,clouds,overcast clouds,2012-10-05 15:00:00,6128,10,2012,15,4,5,October,False,Weekday,2012-10
No Holiday,281.73,0.0,0.0,90,clouds,overcast clouds,2012-10-05 16:00:00,6069,10,2012,16,4,5,October,False,Weekday,2012-10
No Holiday,281.42,0.0,0.0,90,clouds,overcast clouds,2012-10-05 17:00:00,6169,10,2012,17,4,5,October,False,Weekday,2012-10
No Holiday,280.87,0.0,0.0,90,clouds,overcast clouds,2012-10-05 18:00:00,5384,10,2012,18,4,5,October,False,Weekday,2012-10
No Holiday,280.15,0.0,0.0,90,clouds,overcast clouds,2012-10-05 19:00:00,4063,10,2012,19,4,5,October,False,Weekday,2012-10
No Holiday,279.78,0.0,0.0,90,clouds,overcast clouds,2012-10-05 20:00:00,3364,10,2012,20,4,5,October,False,Weekday,2012-10
No Holiday,279.65,0.0,0.0,75,clouds,broken clouds,2012-10-05 21:00:00,2971,10,2012,21,4,5,October,False,Weekday,2012-10
No Holiday,279.22,0.0,0.0,40,clouds,scattered clouds,2012-10-05 22:00:00,2450,10,2012,22,4,5,October,False,Weekday,2012-10
No Holiday,279.06,0.0,0.0,40,clouds,scattered clouds,2012-10-05 23:00:00,1832,10,2012,23,4,5,October,False,Weekday,2012-10
No Holiday,278.81,0.0,0.0,90,clouds,overcast clouds,2012-10-06 00:00:00,1231,10,2012,0,5,6,October,True,Weekend,2012-10
No Holiday,278.55,0.0,0.0,90,clouds,overcast clouds,2012-10-06 01:00:00,718,10,2012,1,5,6,October,True,Weekend,2012-10
No Holiday,278.59,0.0,0.0,90,clouds,overcast clouds,2012-10-06 02:00:00,545,10,2012,2,5,6,October,True,Weekend,2012-10
No Holiday,276.99,0.0,0.0,75,clouds,broken clouds,2012-10-06 04:00:00,411,10,2012,4,5,6,October,True,Weekend,2012-10
No Holiday,276.35,0.0,0.0,20,clouds,few clouds,2012-10-06 05:00:00,688,10,2012,5,5,6,October,True,Weekend,2012-10
No Holiday,275.4,0.0,0.0,1,clear,sky is clear,2012-10-06 06:00:00,1352,10,2012,6,5,6,October,True,Weekend,2012-10
No Holiday,275.17,0.0,0.0,1,clear,sky is clear,2012-10-06 07:00:00,2072,10,2012,7,5,6,October,True,Weekend,2012-10
No Holiday,274.99,0.0,0.0,1,clear,sky is clear,2012-10-06 08:00:00,3342,10,2012,8,5,6,October,True,Weekend,2012-10
No Holiday,275.09,0.0,0.0,40,clouds,scattered clouds,2012-10-06 09:00:00,4258,10,2012,9,5,6,October,True,Weekend,2012-10
No Holiday,276.88,0.0,0.0,20,clouds,few clouds,2012-10-06 10:00:00,4861,10,2012,10,5,6,October,True,Weekend,2012-10
No Holiday,278.04,0.0,0.0,20,clouds,few clouds,2012-10-06 11:00:00,5191,10,2012,11,5,6,October,True,Weekend,2012-10
No Holiday,279.08,0.0,0.0,40,clouds,scattered clouds,2012-10-06 12:00:00,5669,10,2012,12,5,6,October,True,Weekend,2012-10
No Holiday,280.12,0.0,0.0,75,clouds,broken clouds,2012-10-06 13:00:00,5074,10,2012,13,5,6,October,True,Weekend,2012-10
No Holiday,280.25,0.0,0.0,75,clouds,broken clouds,2012-10-06 14:00:00,5025,10,2012,14,5,6,October,True,Weekend,2012-10
No Holiday,280.0,0.0,0.0,75,clouds,broken clouds,2012-10-06 15:00:00,5153,10,2012,15,5,6,October,True,Weekend,2012-10
No Holiday,279.06,0.0,0.0,90,clouds,overcast clouds,2012-10-06 16:00:00,5024,10,2012,16,5,6,October,True,Weekend,2012-10
No Holiday,278.91,0.0,0.0,90,clouds,overcast clouds,2012-10-06 17:00:00,4779,10,2012,17,5,6,October,True,Weekend,2012-10
No Holiday,278.39,0.0,0.0,90,clouds,overcast clouds,2012-10-06 18:00:00,4362,10,2012,18,5,6,October,True,Weekend,2012-10
No Holiday,278.16,0.0,0.0,90,clouds,overcast clouds,2012-10-06 19:00:00,3860,10,2012,19,5,6,October,True,Weekend,2012-10
No Holiday,278.16,0.0,0.0,90,clouds,overcast clouds,2012-10-06 20:00:00,3160,10,2012,20,5,6,October,True,Weekend,2012-10
No Holiday,277.93,0.0,0.0,90,clouds,overcast clouds,2012-10-06 21:00:00,2992,10,2012,21,5,6,October,True,Weekend,2012-10
No Holiday,276.9,0.0,0.0,90,clouds,overcast clouds,2012-10-06 22:00:00,3202,10,2012,22,5,6,October,True,Weekend,2012-10
No Holiday,276.34,0.0,0.0,75,clouds,broken clouds,2012-10-06 23:00:00,1941,10,2012,23,5,6,October,True,Weekend,2012-10
No Holiday,276.11,0.0,0.0,75,clouds,broken clouds,2012-10-07 00:00:00,1233,10,2012,0,6,7,October,True,Weekend,2012-10
No Holiday,275.73,0.0,0.0,90,clouds,overcast clouds,2012-10-07 03:00:00,323,10,2012,3,6,7,October,True,Weekend,2012-10
No Holiday,275.65,0.0,0.0,90,clouds,overcast clouds,2012-10-07 04:00:00,312,10,2012,4,6,7,October,True,Weekend,2012-10
No Holiday,275.51,0.0,0.0,75,clouds,broken clouds,2012-10-07 05:00:00,627,10,2012,5,6,7,October,True,Weekend,2012-10
No Holiday,275.05,0.0,0.0,90,clouds,overcast clouds,2012-10-07 06:00:00,1508,10,2012,6,6,7,October,True,Weekend,2012-10
No Holiday,274.77,0.0,0.0,90,clouds,overcast clouds,2012-10-07 07:00:00,1539,10,2012,7,6,7,October,True,Weekend,2012-10
No Holiday,274.77,0.0,0.0,75,clouds,broken clouds,2012-10-07 08:00:00,2232,10,2012,8,6,7,October,True,Weekend,2012-10
No Holiday,275.55,0.0,0.0,75,clouds,broken clouds,2012-10-07 09:00:00,4568,10,2012,9,6,7,October,True,Weekend,2012-10
No Holiday,276.24,0.0,0.0,75,clouds,broken clouds,2012-10-07 10:00:00,4624,10,2012,10,6,7,October,True,Weekend,2012-10
No Holiday,277.01,0.0,0.0,90,clouds,overcast clouds,2012-10-07 11:00:00,4529,10,2012,11,6,7,October,True,Weekend,2012-10
No Holiday,277.43,0.0,0.0,90,clouds,overcast clouds,2012-10-07 12:00:00,5139,10,2012,12,6,7,October,True,Weekend,2012-10
No Holiday,278.45,0.0,0.0,90,clouds,overcast clouds,2012-10-07 13:00:00,6640,10,2012,13,6,7,October,True,Weekend,2012-10
No Holiday,279.27,0.0,0.0,90,clouds,overcast clouds,2012-10-07 14:00:00,6589,10,2012,14,6,7,October,True,Weekend,2012-10
No Holiday,279.27,0.0,0.0,90,clouds,overcast clouds,2012-10-07 15:00:00,4429,10,2012,15,6,7,October,True,Weekend,2012-10
No Holiday,279.44,0.0,0.0,90,clouds,overcast clouds,2012-10-07 16:00:00,4329,10,2012,16,6,7,October,True,Weekend,2012-10
No Holiday,279.32,0.0,0.0,90,clouds,overcast clouds,2012-10-07 17:00:00,3833,10,2012,17,6,7,October,True,Weekend,2012-10
No Holiday,279.27,0.0,0.0,90,clouds,overcast clouds,2012-10-07 18:00:00,4015,10,2012,18,6,7,October,True,Weekend,2012-10
No Holiday,278.11,0.0,0.0,90,clouds,overcast clouds,2012-10-07 19:00:00,3382,10,2012,19,6,7,October,True,Weekend,2012-10
No Holiday,276.79,0.0,0.0,75,clouds,broken clouds,2012-10-07 20:00:00,2815,10,2012,20,6,7,October,True,Weekend,2012-10
No Holiday,275.73,0.0,0.0,90,clouds,overcast clouds,2012-10-07 21:00:00,2110,10,2012,21,6,7,October,True,Weekend,2012-10
No Holiday,274.88,0.0,0.0,75,clouds,broken clouds,2012-10-07 22:00:00,1555,10,2012,22,6,7,October,True,Weekend,2012-10
No Holiday,273.92,0.0,0.0,20,clouds,few clouds,2012-10-07 23:00:00,959,10,2012,23,6,7,October,True,Weekend,2012-10
Columbus Day,273.08,0.0,0.0,20,clouds,few clouds,2012-10-08 00:00:00,455,10,2012,0,0,8,October,False,Weekday,2012-10
No Holiday,272.62,0.0,0.0,20,clouds,few clouds,2012-10-08 01:00:00,336,10,2012,1,0,8,October,False,Weekday,2012-10
No Holiday,271.78,0.0,0.0,1,clear,sky is clear,2012-10-08 02:00:00,265,10,2012,2,0,8,October,False,Weekday,2012-10
No Holiday,271.05,0.0,0.0,1,clear,sky is clear,2012-10-08 03:00:00,314,10,2012,3,0,8,October,False,Weekday,2012-10
No Holiday,270.63,0.0,0.0,1,clear,sky is clear,2012-10-08 04:00:00,779,10,2012,4,0,8,October,False,Weekday,2012-10
No Holiday,270.33,0.0,0.0,1,clear,sky is clear,2012-10-08 05:00:00,2571,10,2012,5,0,8,October,False,Weekday,2012-10
No Holiday,269.61,0.0,0.0,20,clouds,few clouds,2012-10-08 06:00:00,5563,10,2012,6,0,8,October,False,Weekday,2012-10
No Holiday,270.01,0.0,0.0,20,clouds,few clouds,2012-10-08 07:00:00,6676,10,2012,7,0,8,October,False,Weekday,2012-10
No Holiday,271.23,0.0,0.0,20,clouds,few clouds,2012-10-08 08:00:00,5966,10,2012,8,0,8,October,False,Weekday,2012-10
No Holiday,273.71,0.0,0.0,20,clouds,few clouds,2012-10-08 09:00:00,4832,10,2012,9,0,8,October,False,Weekday,2012-10
No Holiday,276.77,0.0,0.0,20,clouds,few clouds,2012-10-08 10:00:00,4395,10,2012,10,0,8,October,False,Weekday,2012-10
No Holiday,279.47,0.0,0.0,20,clouds,few clouds,2012-10-08 11:00:00,4411,10,2012,11,0,8,October,False,Weekday,2012-10
No Holiday,279.84,0.0,0.0,1,clear,sky is clear,2012-10-08 12:00:00,4648,10,2012,12,0,8,October,False,Weekday,2012-10
No Holiday,282.34,0.0,0.0,40,clouds,scattered clouds,2012-10-08 13:00:00,4602,10,2012,13,0,8,October,False,Weekday,2012-10
No Holiday,282.94,0.0,0.0,40,clouds,scattered clouds,2012-10-08 14:00:00,5125,10,2012,14,0,8,October,False,Weekday,2012-10
No Holiday,283.48,0.0,0.0,1,clear,sky is clear,2012-10-08 15:00:00,5502,10,2012,15,0,8,October,False,Weekday,2012-10
No Holiday,284.33,0.0,0.0,1,clear,sky is clear,2012-10-08 16:00:00,5979,10,2012,16,0,8,October,False,Weekday,2012-10
No Holiday,284.48,0.0,0.0,40,clouds,scattered clouds,2012-10-08 17:00:00,5663,10,2012,17,0,8,October,False,Weekday,2012-10
No Holiday,284.23,0.0,0.0,40,clouds,scattered clouds,2012-10-08 18:00:00,4259,10,2012,18,0,8,October,False,Weekday,2012-10
No Holiday,281.99,0.0,0.0,20,clouds,few clouds,2012-10-08 19:00:00,3069,10,2012,19,0,8,October,False,Weekday,2012-10
No Holiday,279.81,0.0,0.0,1,clear,sky is clear,2012-10-08 20:00:00,2378,10,2012,20,0,8,October,False,Weekday,2012-10
No Holiday,279.35,0.0,0.0,1,clear,sky is clear,2012-10-08 21:00:00,2030,10,2012,21,0,8,October,False,Weekday,2012-10
No Holiday,278.9,0.0,0.0,1,clear,sky is clear,2012-10-08 22:00:00,1400,10,2012,22,0,8,October,False,Weekday,2012-10
No Holiday,278.46,0.0,0.0,1,clear,sky is clear,2012-10-08 23:00:00,917,10,2012,23,0,8,October,False,Weekday,2012-10
No Holiday,277.78,0.0,0.0,1,clear,sky is clear,2012-10-09 00:00:00,515,10,2012,0,1,9,October,False,Weekday,2012-10
No Holiday,277.27,0.0,0.0,1,clear,sky is clear,2012-10-09 01:00:00,302,10,2012,1,1,9,October,False,Weekday,2012-10
No Holiday,277.47,0.0,0.0,1,clear,sky is clear,2012-10-09 02:00:00,251,10,2012,2,1,9,October,False,Weekday,2012-10
No Holiday,276.97,0.0,0.0,20,clouds,few clouds,2012-10-09 04:00:00,798,10,2012,4,1,9,October,False,Weekday,2012-10
No Holiday,276.52,0.0,0.0,40,clouds,scattered clouds,2012-10-09 05:00:00,2678,10,2012,5,1,9,October,False,Weekday,2012-10
No Holiday,276.6,0.0,0.0,40,clouds,scattered clouds,2012-10-09 06:00:00,5733,10,2012,6,1,9,October,False,Weekday,2012-10
No Holiday,277.31,0.0,0.0,75,clouds,broken clouds,2012-10-09 07:00:00,6449,10,2012,7,1,9,October,False,Weekday,2012-10
No Holiday,278.38,0.0,0.0,90,clouds,overcast clouds,2012-10-09 08:00:00,5765,10,2012,8,1,9,October,False,Weekday,2012-10
No Holiday,279.35,0.0,0.0,90,clouds,overcast clouds,2012-10-09 09:00:00,5599,10,2012,9,1,9,October,False,Weekday,2012-10
No Holiday,281.37,0.0,0.0,90,clouds,overcast clouds,2012-10-09 10:00:00,4534,10,2012,10,1,9,October,False,Weekday,2012-10
No Holiday,283.11,0.0,0.0,90,clouds,overcast clouds,2012-10-09 11:00:00,4691,10,2012,11,1,9,October,False,Weekday,2012-10
No Holiday,284.08,0.0,0.0,75,clouds,broken clouds,2012-10-09 12:00:00,5067,10,2012,12,1,9,October,False,Weekday,2012-10
No Holiday,285.14,0.0,0.0,75,clouds,broken clouds,2012-10-09 13:00:00,5030,10,2012,13,1,9,October,False,Weekday,2012-10
No Holiday,286.35,0.0,0.0,90,clouds,overcast clouds,2012-10-09 14:00:00,5300,10,2012,14,1,9,October,False,Weekday,2012-10
No Holiday,287.23,0.0,0.0,100,rain,light rain,2012-10-09 15:00:00,5777,10,2012,15,1,9,October,False,Weekday,2012-10
No Holiday,288.53,0.0,0.0,90,clouds,overcast clouds,2012-10-09 16:00:00,6349,10,2012,16,1,9,October,False,Weekday,2012-10
No Holiday,290.37,0.0,0.0,90,clouds,overcast clouds,2012-10-09 17:00:00,6127,10,2012,17,1,9,October,False,Weekday,2012-10
No Holiday,290.13,0.0,0.0,90,clouds,overcast clouds,2012-10-09 18:00:00,4460,10,2012,18,1,9,October,False,Weekday,2012-10
No Holiday,288.86,0.0,0.0,75,clouds,broken clouds,2012-10-09 19:00:00,3418,10,2012,19,1,9,October,False,Weekday,2012-10
No Holiday,287.36,0.0,0.0,90,clouds,overcast clouds,2012-10-09 20:00:00,2775,10,2012,20,1,9,October,False,Weekday,2012-10
No Holiday,285.11,0.0,0.0,90,clouds,overcast clouds,2012-10-09 21:00:00,2306,10,2012,21,1,9,October,False,Weekday,2012-10
No Holiday,283.46,0.0,0.0,90,clouds,overcast clouds,2012-10-09 22:00:00,1846,10,2012,22,1,9,October,False,Weekday,2012-10
No Holiday,282.45,0.0,0.0,90,clouds,overcast clouds,2012-10-09 23:00:00,947,10,2012,23,1,9,October,False,Weekday,2012-10
No Holiday,281.88,0.0,0.0,90,clouds,overcast clouds,2012-10-10 00:00:00,494,10,2012,0,2,10,October,False,Weekday,2012-10
No Holiday,281.78,0.0,0.0,90,clouds,overcast clouds,2012-10-10 01:00:00,332,10,2012,1,2,10,October,False,Weekday,2012-10
No Holiday,281.09,0.0,0.0,75,clouds,broken clouds,2012-10-10 02:00:00,261,10,2012,2,2,10,October,False,Weekday,2012-10
No Holiday,281.17,0.0,0.0,90,clouds,overcast clouds,2012-10-10 03:00:00,361,10,2012,3,2,10,October,False,Weekday,2012-10
No Holiday,281.25,0.0,0.0,92,clear,sky is clear,2012-10-10 06:00:00,5875,10,2012,6,2,10,October,False,Weekday,2012-10
No Holiday,281.25,0.0,0.0,99,rain,light rain,2012-10-10 07:00:00,6793,10,2012,7,2,10,October,False,Weekday,2012-10
No Holiday,281.25,0.0,0.0,99,drizzle,light intensity drizzle,2012-10-10 07:00:00,6793,10,2012,7,2,10,October,False,Weekday,2012-10
No Holiday,280.1,0.0,0.0,99,rain,light rain,2012-10-10 08:00:00,6283,10,2012,8,2,10,October,False,Weekday,2012-10
No Holiday,280.1,0.0,0.0,99,drizzle,light intensity drizzle,2012-10-10 08:00:00,6283,10,2012,8,2,10,October,False,Weekday,2012-10
No Holiday,279.61,0.0,0.0,99,rain,light rain,2012-10-10 09:00:00,5680,10,2012,9,2,10,October,False,Weekday,2012-10
No Holiday,279.61,0.0,0.0,99,drizzle,light intensity drizzle,2012-10-10 09:00:00,5680,10,2012,9,2,10,October,False,Weekday,2012-10
No Holiday,279.67,0.0,0.0,99,clear,sky is clear,2012-10-10 10:00:00,4632,10,2012,10,2,10,October,False,Weekday,2012-10
No Holiday,280.19,0.0,0.0,1,clear,sky is clear,2012-10-10 11:00:00,4887,10,2012,11,2,10,October,False,Weekday,2012-10
No Holiday,282.09,0.0,0.0,75,clouds,broken clouds,2012-10-10 12:00:00,5030,10,2012,12,2,10,October,False,Weekday,2012-10
No Holiday,282.26,0.0,0.0,75,clouds,broken clouds,2012-10-10 13:00:00,5067,10,2012,13,2,10,October,False,Weekday,2012-10
No Holiday,282.05,0.0,0.0,90,clouds,overcast clouds,2012-10-10 14:00:00,5227,10,2012,14,2,10,October,False,Weekday,2012-10
No Holiday,281.59,0.0,0.0,90,clouds,overcast clouds,2012-10-10 15:00:00,5610,10,2012,15,2,10,October,False,Weekday,2012-10
No Holiday,281.23,0.0,0.0,81,clear,sky is clear,2012-10-10 16:00:00,6286,10,2012,16,2,10,October,False,Weekday,2012-10
No Holiday,282.6,0.0,0.0,81,clear,sky is clear,2012-10-10 18:00:00,4775,10,2012,18,2,10,October,False,Weekday,2012-10
No Holiday,282.6,0.0,0.0,81,clear,sky is clear,2012-10-10 19:00:00,3340,10,2012,19,2,10,October,False,Weekday,2012-10
No Holiday,282.6,0.0,0.0,81,clear,sky is clear,2012-10-10 20:00:00,3013,10,2012,20,2,10,October,False,Weekday,2012-10
No Holiday,282.6,0.0,0.0,81,clear,sky is clear,2012-10-10 21:00:00,2603,10,2012,21,2,10,October,False,Weekday,2012-10
